Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-09-30,22.62,22.68,22.22,22.34,1915100,0.0,0.0
2010-10-01,22.42,22.43,22.09,22.26,3272400,0.0,0.0
2010-10-04,22.18,22.32,22.0,22.09,1727100,0.0,0.0
2010-10-05,22.75,23.12,22.68,23.03,2394700,0.0,0.0
2010-10-06,23.12,23.14,22.84,22.95,1695800,0.0,0.0
2010-10-07,23.2,23.21,22.74,22.87,1410500,0.0,0.0
2010-10-08,22.81,23.02,22.75,22.99,1495600,0.0,0.0
2010-10-11,23.02,23.18,22.95,23.02,920900,0.0,0.0
2010-10-12,22.7,22.86,22.47,22.81,2314300,0.0,0.0
2010-10-13,23.34,23.52,23.3,23.43,2050100,0.0,0.0
2010-10-14,23.55,23.56,23.3,23.45,2371200,0.0,0.0
2010-10-15,23.86,23.86,23.51,23.63,2105600,0.0,0.0
2010-10-18,23.46,23.7,23.38,23.69,2037000,0.0,0.0
2010-10-19,23.12,23.37,22.86,22.98,1831400,0.0,0.0
2010-10-20,23.14,23.47,23.12,23.45,1511400,0.0,0.0
2010-10-21,23.32,23.56,23.16,23.34,1559500,0.0,0.0
2010-10-22,23.42,23.48,23.19,23.24,810400,0.0,0.0
2010-10-25,23.6,23.67,23.34,23.41,1812800,0.0,0.0
2010-10-26,23.08,23.24,22.98,23.21,1718800,0.0,0.0
2010-10-27,23.2,23.37,22.85,23.1,2427800,0.0,0.0
2010-10-28,23.3,23.48,23.0,23.38,2389400,0.0,0.0
2010-10-29,23.51,23.67,23.41,23.59,2037500,0.0,0.0
2010-11-01,23.65,23.71,23.41,23.53,2424700,0.0,0.0
2010-11-02,23.92,23.99,23.8,23.91,2124000,0.0,0.0
2010-11-03,23.7,23.86,23.47,23.84,2347200,0.0,0.0
2010-11-04,24.2,24.4,24.16,24.4,3234600,0.0,0.0
2010-11-05,24.14,24.29,24.01,24.11,4369500,0.0,0.0
2010-11-08,23.94,23.97,23.79,23.86,1439900,0.0,0.0
2010-11-09,23.94,24.03,23.63,23.73,1335400,0.0,0.0
